PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES
010006,01-JUL-10,30-JUN-11,As Submitted,ELIZA COFFEE MEMORIAL HOSPITAL          ,205 MARENGO                             ,818                                     ,FLORENCE                                ,AL                                      ,35631-                                  ,LAUDERDALE                              ,,,,3393270,,,.0875,,,358,130670,29988,8267,55101,,985.6,,5301,1707,12006
010011,01-JUL-10,30-JUN-11,As Submitted,ST. VINCENT S EAST                      ,50 MEDICAL PARK DRIVE EAST              ,,BIRMINGHAM                              ,AL                                      ,35235-                                  ,JEFFERSON                               ,1430974,,,1818594,,,.0609,778865,215132,279,104573,21743,6325,65673,14.42,1119.44,,4069,1457,13059
010025,01-JUL-10,30-JUN-11,As Submitted,GEORGE H. LANIER HOSPITAL               ,4800 48TH STREET                        ,,VALLEY                                  ,AL                                      ,36854-                                  ,CHAMBERS                                ,,,,1190636,,,.1516,,,84,30660,8108,2489,14560,,330.86,,1344,436,2885
010027,01-JUL-10,30-JUN-11,As Submitted,ELBA GENERAL HOSPITAL                   ,987 DRAYTON STREET                      ,,ELBA                                    ,AL                                      ,35323                                   ,COFFEE                                  ,,,,129649,,,.12,,,20,7300,947,348,1758,,97.68,,260,148,589
010035,01-JUL-10,30-JUN-11,Amended,CULLMAN REGIONAL                        ,1912 ALABAMA HIGHWAY 157                ,,CULLMAN                                 ,AL                                      ,35056-                                  ,CULLMAN                                 ,,,,2572117,,,.1201,,,115,41975,14807,5013,26730,,870.09,,3149,1770,7221
010038,01-JUL-10,30-JUN-11,As Submitted,STRINGFELLOW MEMORIAL HOSPITAL          ,301 EAST 18TH STREET                    ,38                                      ,ANNISTON                                ,AL                                      ,36207                                   ,CALHOUN                                 ,,,,1189602,,,.0893,,,125,45625,9577,1941,16899,,338,,2403,570,4660
010039,01-JUL-10,30-JUN-11,Amended,HUNTSVILLE HOSPITAL                     ,101 SIVLEY ROAD                         ,,HUNTSVILLE                              ,AL                                      ,35801-                                  ,MADISON                                 ,3275570,,,17463933,,,.1335,852063,325671,782,285430,81010,39720,207859,35.71,5083.29,,14631,7580,45038
010043,01-JUL-10,30-JUN-11,As Submitted,CHILTON MEDICAL CENTER                  ,1010 LAY DAM ROAD                       ,,CLANTON                                 ,AL                                      ,35045                                   ,CHILTON                                 ,,,,85155,,,.0617,,,27,9855,1344,113,2724,,117.98,,280,63,629
010046,01-JUL-10,30-JUN-11,As Submitted,RIVERVIEW REGIONAL MEDICAL CENTER       ,600 SOUTH 3RD STREET                    ,268                                     ,GADSDEN                                 ,AL                                      ,35901                                   ,ETOWAH                                  ,,,,1504909,,,.053,,,256,93440,25408,2052,41721,,584,,4182,718,7547
010050,01-JUL-10,30-JUN-11,As Submitted,ST. VINCENT S BLOUNT                    ,150 GILBREATH DRIVE                     ,1000                                    ,ONEONTA                                 ,AL                                      ,35121-                                  ,BLOUNT                                  ,,,,261942,,,.0986,,,40,14600,2272,550,4981,,154.13,,550,177,1359
010054,01-JUL-10,30-JUN-11,As Submitted,PARKWAY MEDICAL CENTER                  ,1874 BELTLINE ROAD S.W.                 ,,DECATUR                                 ,AL                                      ,35601                                   ,MORGAN                                  ,,,,1144179,,,.1394,,,109,39785,6649,2560,14469,,305.71,,1585,720,3914
010055,01-JUL-10,30-JUN-11,As Submitted,FLOWERS HOSPITAL                        ,4370 WEST MAIN STREET                   ,6907                                    ,DOTHAN                                  ,AL                                      ,36302-                                  ,HOUSTON                                 ,,,,2421357,,,.0653,,,235,85775,27037,6441,54369,,1130.64,,5090,1283,11496
010056,01-JUL-10,30-JUN-11,Amended,ST VINCENT S HOSPITAL                   ,810 ST VINCENT S DRIVE                  ,,BIRMINGHAM                              ,AL                                      ,35205-                                  ,JEFFERSON                               ,103194,,,,,,,29500,6933,424,154760,37925,4007,112165,1,1893.42,,7237,629,21221
010066,01-JUL-10,30-JUN-11,As Submitted,FLORALA COMMUNITY HOSPITAL              ,515 EAST 5TH AVENUE                     ,,FLORALA                                 ,AL                                      ,36442                                   ,COVINGTON                               ,,,,21694,,,.0251,,,22,8030,942,52,1148,,29.11,,275,28,369
010078,01-JUL-10,30-JUN-11,As Submitted,NORTHEAST ALABAMA REGIONAL MED CTR      ,400 EAST TENTH STREET                   ,2208                                    ,ANNISTON                                ,AL                                      ,36202-                                  ,CALHOUN                                 ,,,,4445931,,,.1218,,,217,79205,26741,9779,54737,,1192.2,,5090,2504,13201
010079,01-JUL-10,30-JUN-11,As Submitted,ATHENS LIMESTONE                        ,ATHENS LIMESTONE HOSPITAL               ,999                                     ,ATHENS                                  ,AL                                      ,35611-                                  ,LIMESTONE                               ,,,,1220802,,,.12,,,101,36865,7638,2861,15271,,432.46,,1706,1117,3878
010085,01-JUL-10,30-JUN-11,As Submitted,DECATUR GENERAL                         ,7TH STREET S.E.                         ,2239                                    ,DECATUR                                 ,AL                                      ,35609-                                  ,MORGAN                                  ,,,,2814429,,,.1197,,,178,64970,17086,7175,36493,,752.19,,3369,1886,8268
010086,01-MAY-10,30-APR-11,Amended,NORTHWEST MEDICAL CENTER                ,HIGHWAY 78 WEST                         ,130                                     ,WINFIELD                                ,AL                                      ,35594                                   ,MARION                                  ,,,,484250,,,.0731,,,61,22265,6431,970,9652,,237.44,,1332,257,2199
010090,01-JUL-10,30-JUN-11,As Submitted,PROVIDENCE HOSPITAL                     ,6801 AIRPORT BLVD                       ,,MOBILE                                  ,AL                                      ,36608                                   ,MOBILE                                  ,51647,,,2521396,,,.0635,5123,1529,349,127385,28084,11518,78313,.86,1850,,5043,1957,14236
010091,01-JUL-10,30-JUN-11,As Submitted,GROVE HILL MEMORIAL HOSPITAL            ,295 SOUTH JACKSON STREET                ,935                                     ,GROVE HILL                              ,AL                                      ,36451-                                  ,CLARKE                                  ,,,,166929,,,.12,,,24,8760,1145,920,2959,,77.74,,375,395,1014
010104,01-JUL-10,30-JUN-11,As Submitted,TRINITY MEDICAL CENTER                  ,800 MONTCLAIR ROAD                      ,,BIRMINGHAM                              ,AL                                      ,35213-                                  ,JEFFERSON                               ,3341741,,,3173205,,,.0853,2160920,429760,331,120801,27744,12259,74753,39.48,1421,,4651,1348,12672
010108,01-JUL-10,30-JUN-11,Settled,PRATTVILLE BAPTIST HOSPITAL             ,124 SOUTH MEMORIAL DRIVE                ,,PRATTVILLE                              ,AL                                      ,36067-                                  ,AUTAUGA                                 ,,,,197042,,,.0463,,,50,18250,3188,627,7124,,234.76,,869,195,2115
010118,01-JUL-10,30-JUN-11,As Submitted,VAUGHAN REGIONAL MEDICAL CENTER         ,1015 MEDICAL CENTER PARKWAY             ,,SELMA                                   ,AL                                      ,36701                                   ,DALLAS                                  ,854792,,,6735073,,,.3767,360515,127605,159,54385,11755,8406,27461,13.21,492.4,,2866,2731,7591
010125,01-MAY-10,30-APR-11,As Submitted,LAKELAND COMMUNITY HOSPITAL             ,HIIGHWAY 195 EAST                       ,780                                     ,HALEYVILLE                              ,AL                                      ,35565                                   ,WINSTON                                 ,,,,542840,,,.1196,,,47,17155,4215,642,6000,,138.92,,970,256,1690
010130,01-JUL-10,30-JUN-11,As Submitted,ST. VINCENT S ST. CLAIR                 ,2805 DR. JOHN HAYNES DRIVES             ,,PELL CITY                               ,AL                                      ,35215-                                  ,ST. CLAIR                               ,,,,133795,,,.0593,,,40,14600,2264,441,5706,,175.22,,518,153,1489
010131,01-JUL-10,30-JUN-11,As Submitted,CRESTWOOD MEDICAL CENTER                ,ONE HOSPITAL DRIVE                      ,,HUNTSVILLE                              ,AL                                      ,35801-                                  ,MADISON                                 ,,,,,,,,,,123,54207,17325,2816,39686,,875.3,,3944,708,9659
010149,01-JUL-10,30-JUN-11,As Submitted,BAPTIST MEDICAL CENTER EAST             ,400 TAYLOR ROAD                         ,,MONTGOMERY                              ,AL                                      ,36117-                                  ,MONTGOMERY                              ,,,,3058400,,,.2117,,,149,54385,10652,15309,50199,,874.22,,2400,2336,10946
010164,01-AUG-10,31-JUL-11,As Submitted,COOSA VALLEY MEDICAL CENTER             ,314 WEST HICKORY STREET                 ,,SYLACAUGA                               ,AL                                      ,35150-                                  ,TALLEDEGA                               ,,,,1601207,,,.2074,,,122,44530,6997,4057,15848,,360.16,,1528,1010,3923
012007,01-JUL-10,30-JUN-11,As Submitted,NOLAND HOSPITAL MONTGOMERY              ,1725 PINE STREET 5TH FLOOR              ,,MONTGOMERY                              ,AL                                      ,36106                                   ,MONTGOMERY                              ,,,,,,,,,,65,23725,6324,,9369,,66.9,,246,,391
